locus_tag	ftype	length_bp	gene	EC_number	COG	product
MHLIDFIL_01118	CDS	795	ydcV_2			Inner membrane ABC transporter permease protein YdcV
MHLIDFIL_01119	CDS	858	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
MHLIDFIL_01120	CDS	1137	potA_2	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
MHLIDFIL_01121	CDS	1227	pepT	3.4.11.4	COG2195	Peptidase T
MHLIDFIL_01122	CDS	1122	roxA	1.14.11.47	COG2850	50S ribosomal protein L16 3-hydroxylase
MHLIDFIL_01123	CDS	1461	phoQ	2.7.13.3	COG0642	Sensor protein PhoQ
MHLIDFIL_01124	CDS	672	phoP			Transcriptional regulatory protein PhoP
MHLIDFIL_01125	CDS	1371	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
MHLIDFIL_01126	CDS	642	hflD		COG2915	High frequency lysogenization protein HflD
MHLIDFIL_01127	CDS	1107	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
MHLIDFIL_01128	CDS	462	nudJ	3.6.1.-	COG0494	Phosphatase NudJ
MHLIDFIL_01129	CDS	654	rluE	5.4.99.20	COG1187	Ribosomal large subunit pseudouridine synthase E
MHLIDFIL_01130	CDS	1251	icd_1	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
MHLIDFIL_01131	CDS	666				hypothetical protein
MHLIDFIL_01132	CDS	696				hypothetical protein
MHLIDFIL_01133	CDS	894				hypothetical protein
MHLIDFIL_01134	CDS	1128				hypothetical protein
MHLIDFIL_01135	CDS	246				hypothetical protein
MHLIDFIL_01136	CDS	342				hypothetical protein
MHLIDFIL_01137	CDS	309				hypothetical protein
MHLIDFIL_01138	CDS	675	lexA_1	3.4.21.88		LexA repressor
MHLIDFIL_01139	CDS	201				hypothetical protein
MHLIDFIL_01140	CDS	558				hypothetical protein
MHLIDFIL_01141	CDS	339				hypothetical protein
MHLIDFIL_01142	CDS	1368				hypothetical protein
MHLIDFIL_01143	CDS	183				hypothetical protein
MHLIDFIL_01144	CDS	474				hypothetical protein
MHLIDFIL_01145	CDS	750				hypothetical protein
MHLIDFIL_01146	CDS	585				hypothetical protein
MHLIDFIL_01147	CDS	630				hypothetical protein
MHLIDFIL_01148	CDS	375				hypothetical protein
MHLIDFIL_01149	CDS	603	tfaE_1			Prophage tail fiber assembly protein TfaE
MHLIDFIL_01150	CDS	537				hypothetical protein
MHLIDFIL_01151	CDS	555	hin		COG1961	DNA-invertase hin
MHLIDFIL_01152	CDS	834	mcrA	3.1.21.-	COG1403	5-methylcytosine-specific restriction enzyme A
MHLIDFIL_01153	CDS	165	icd_2	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
MHLIDFIL_01154	CDS	405	ydfO_2		COG5562	putative protein YdfO
MHLIDFIL_01155	CDS	732	bluR		COG0789	HTH-type transcriptional repressor BluR
MHLIDFIL_01156	CDS	1212	bluF			Blue light- and temperature-regulated antirepressor BluF
MHLIDFIL_01157	CDS	237	ycgZ			putative two-component-system connector protein YcgZ
MHLIDFIL_01158	CDS	267	ariR			putative two-component-system connector protein AriR
MHLIDFIL_01159	CDS	249	ymgC			putative protein YmgC
MHLIDFIL_01160	CDS	1524	pdeG	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeG
MHLIDFIL_01161	CDS	219	ymgF			Inner membrane protein YmgF
MHLIDFIL_01162	CDS	1521				hypothetical protein
MHLIDFIL_01163	CDS	1017	icsA_1		COG3468	Outer membrane protein IcsA autotransporter
MHLIDFIL_01164	CDS	330	ymgD			putative protein YmgD
MHLIDFIL_01165	CDS	285				hypothetical protein
MHLIDFIL_01166	CDS	267	minE		COG0851	Cell division topological specificity factor
MHLIDFIL_01167	CDS	813	minD		COG2894	Septum site-determining protein MinD
MHLIDFIL_01168	CDS	696	minC		COG0850	Septum site-determining protein MinC
MHLIDFIL_01169	CDS	369				hypothetical protein
MHLIDFIL_01170	CDS	402	pliG			Inhibitor of g-type lysozyme
MHLIDFIL_01171	CDS	294	ycgL		COG3100	Protein YcgL
MHLIDFIL_01172	CDS	660	ycgM		COG0179	putative protein YcgM
MHLIDFIL_01173	CDS	447				hypothetical protein
MHLIDFIL_01174	CDS	912	hlyE			Hemolysin E, chromosomal
MHLIDFIL_01175	CDS	420	umuD	3.4.21.-	COG1974	Protein UmuD
MHLIDFIL_01176	CDS	1269	umuC		COG0389	Protein UmuC
MHLIDFIL_01177	CDS	531	dsbB		COG1495	Disulfide bond formation protein B
MHLIDFIL_01178	CDS	1542	nhaB		COG3067	Na(+)/H(+) antiporter NhaB
MHLIDFIL_01179	CDS	720	fadR		COG2186	Fatty acid metabolism regulator protein
MHLIDFIL_01180	CDS	1533				hypothetical protein
MHLIDFIL_01181	CDS	1299	dadA_1	1.4.99.-	COG0665	D-amino acid dehydrogenase
MHLIDFIL_01182	CDS	1071	dadX	5.1.1.1	COG0787	Alanine racemase, catabolic
MHLIDFIL_01183	CDS	1737	cvrA		COG3263	K(+)/H(+) antiporter NhaP2
MHLIDFIL_01184	CDS	915	ldcA	3.4.17.13	COG1619	Murein tetrapeptide carboxypeptidase
MHLIDFIL_01185	CDS	612	emtA	4.2.2.-	COG0741	Endo-type membrane-bound lytic murein transglycosylase A
MHLIDFIL_01186	CDS	735	ycgR		COG5581	Flagellar brake protein YcgR
MHLIDFIL_01187	CDS	255				hypothetical protein
MHLIDFIL_01188	CDS	441				hypothetical protein
MHLIDFIL_01189	CDS	1698	treA	3.2.1.28	COG1626	Periplasmic trehalase
MHLIDFIL_01190	CDS	1419	dhaM	2.7.1.121	COG1080	PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM
MHLIDFIL_01191	CDS	633	dhaL	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
MHLIDFIL_01192	CDS	1071	dhaK	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
MHLIDFIL_01193	CDS	1920	dhaR		COG3284	PTS-dependent dihydroxyacetone kinase operon regulatory protein
MHLIDFIL_01194	CDS	2868				hypothetical protein
MHLIDFIL_01195	CDS	180				hypothetical protein
MHLIDFIL_01196	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
MHLIDFIL_01197	CDS	585	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
MHLIDFIL_01198	CDS	279				hypothetical protein
MHLIDFIL_01199	CDS	1653	dauA		COG0659	C4-dicarboxylic acid transporter DauA
MHLIDFIL_01200	CDS	1014	prs_1	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
MHLIDFIL_01201	CDS	852	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
MHLIDFIL_01202	CDS	624	lolB		COG3017	Outer-membrane lipoprotein LolB
MHLIDFIL_01203	CDS	1257	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
MHLIDFIL_01204	CDS	1083	prfA		COG0216	Peptide chain release factor RF1
MHLIDFIL_01205	CDS	834	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
MHLIDFIL_01206	CDS	393	ychQ		COG3094	Protein YchQ
MHLIDFIL_01207	CDS	810				hypothetical protein
MHLIDFIL_01208	CDS	855	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
MHLIDFIL_01209	CDS	108	ldrA_1			Small toxic polypeptide LdrA
MHLIDFIL_01210	CDS	108	ldrA_2			Small toxic polypeptide LdrA
MHLIDFIL_01211	CDS	108	ldrA_3			Small toxic polypeptide LdrA
MHLIDFIL_01212	CDS	1101	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
MHLIDFIL_01213	CDS	231	chaB		COG4572	Putative cation transport regulator ChaB
MHLIDFIL_01214	CDS	717	chaC	4.3.2.7	COG3703	Glutathione-specific gamma-glutamylcyclotransferase
MHLIDFIL_01215	CDS	354	ychN		COG1553	Protein YchN
MHLIDFIL_01216	CDS	1395				Invasin
MHLIDFIL_01217	CDS	651	narL_1		COG2197	Nitrate/nitrite response regulator protein NarL
MHLIDFIL_01218	CDS	1797	narX	2.7.13.3		Nitrate/nitrite sensor protein NarX
MHLIDFIL_01219	CDS	219				hypothetical protein
MHLIDFIL_01220	CDS	1392	narK		COG2223	Nitrate/nitrite transporter NarK
MHLIDFIL_01221	CDS	3744	narG	1.7.5.1	COG5013	Respiratory nitrate reductase 1 alpha chain
MHLIDFIL_01222	CDS	1539	narH	1.7.5.1	COG1140	Respiratory nitrate reductase 1 beta chain
MHLIDFIL_01223	CDS	711	narJ		COG2180	Nitrate reductase molybdenum cofactor assembly chaperone NarJ
MHLIDFIL_01224	CDS	678	narI	1.7.5.1	COG2181	Respiratory nitrate reductase 1 gamma chain
MHLIDFIL_01225	tRNA	85				tRNA-Tyr(gta)
MHLIDFIL_01226	tRNA	85				tRNA-Tyr(gta)
MHLIDFIL_01227	CDS	843	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
MHLIDFIL_01228	CDS	459				hypothetical protein
MHLIDFIL_01229	CDS	945			COG1752	putative NTE family protein
MHLIDFIL_01230	CDS	1014	rssB		COG0784	Regulator of RpoS
MHLIDFIL_01231	CDS	909	galU	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
MHLIDFIL_01232	CDS	414	hns		COG2916	DNA-binding protein H-NS
MHLIDFIL_01233	CDS	618	tdk	2.7.1.21	COG1435	Thymidine kinase
MHLIDFIL_01234	CDS	591				hypothetical protein
MHLIDFIL_01235	CDS	186			COG3385	IS4 family transposase ISCro3
MHLIDFIL_01236	CDS	2676	adhE		COG1012	Aldehyde-alcohol dehydrogenase
MHLIDFIL_01237	CDS	648				hypothetical protein
MHLIDFIL_01238	CDS	156				hypothetical protein
MHLIDFIL_01239	CDS	162				hypothetical protein
MHLIDFIL_01240	CDS	1677	oppA		COG4166	Periplasmic oligopeptide-binding protein
MHLIDFIL_01241	CDS	921	oppB		COG0601	Oligopeptide transport system permease protein OppB
MHLIDFIL_01242	CDS	909	oppC		COG1173	Oligopeptide transport system permease protein OppC
MHLIDFIL_01243	CDS	1014	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
MHLIDFIL_01244	CDS	1005	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MHLIDFIL_01245	CDS	330				hypothetical protein
MHLIDFIL_01246	CDS	1461	clsA	2.7.8.-	COG1502	Cardiolipin synthase A
MHLIDFIL_01247	CDS	1254	kch		COG1226	Voltage-gated potassium channel Kch
MHLIDFIL_01248	CDS	297	yciI		COG2350	Protein YciI
MHLIDFIL_01249	CDS	735	tonB		COG0810	Protein TonB
MHLIDFIL_01250	CDS	399		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
MHLIDFIL_01251	CDS	540	yciB		COG2917	putative intracellular septation protein A
MHLIDFIL_01252	CDS	744				hypothetical protein
MHLIDFIL_01253	CDS	639	ompW		COG3047	Outer membrane protein W
MHLIDFIL_01254	CDS	507	yciE		COG3685	Protein YciE
MHLIDFIL_01255	CDS	501	yciF		COG3685	Protein YciF
MHLIDFIL_01256	CDS	180				hypothetical protein
MHLIDFIL_01257	CDS	807	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
MHLIDFIL_01258	CDS	1194	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
MHLIDFIL_01259	CDS	1359	trpC		COG0134	Tryptophan biosynthesis protein TrpCF
MHLIDFIL_01260	CDS	1596	trpGD		COG0512	Bifunctional protein TrpGD
MHLIDFIL_01261	CDS	1563	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
MHLIDFIL_01262	CDS	882	yciV	3.1.13.-	COG0613	5'-3' exoribonuclease
MHLIDFIL_01263	CDS	621	yciO		COG0009	putative protein YciO
MHLIDFIL_01264	CDS	1896				hypothetical protein
MHLIDFIL_01265	CDS	876	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
MHLIDFIL_01266	CDS	591	btuR	2.5.1.17	COG2109	Corrinoid adenosyltransferase
MHLIDFIL_01267	CDS	759	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
MHLIDFIL_01268	CDS	1050	sohB	3.4.21.-	COG0616	putative protease SohB
MHLIDFIL_01269	CDS	252	yciN			Protein YciN
MHLIDFIL_01270	CDS	2598	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
MHLIDFIL_01271	CDS	975	cysB			HTH-type transcriptional regulator CysB
MHLIDFIL_01272	CDS	129	ymiA			Protein YmiA
MHLIDFIL_01273	CDS	168				hypothetical protein
MHLIDFIL_01274	CDS	96	ymiC			Protein YmiC
MHLIDFIL_01275	CDS	2676	acnA	4.2.1.3	COG1048	Aconitate hydratase A
MHLIDFIL_01276	CDS	591	ribA	3.5.4.25	COG0807	GTP cyclohydrolase-2
MHLIDFIL_01277	CDS	765	pgpB	3.1.3.27	COG0671	Phosphatidylglycerophosphatase B
MHLIDFIL_01278	CDS	309	lapA		COG3771	Lipopolysaccharide assembly protein A
MHLIDFIL_01279	CDS	1170	lapB_1		COG2956	Lipopolysaccharide assembly protein B
MHLIDFIL_01280	CDS	798	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
MHLIDFIL_01281	CDS	327	yciH		COG0023	putative protein YciH
MHLIDFIL_01282	CDS	219	osmB			Osmotically-inducible lipoprotein B
MHLIDFIL_01283	CDS	750	srlR_1		COG1349	Glucitol operon repressor
MHLIDFIL_01284	CDS	174				hypothetical protein
MHLIDFIL_01285	CDS	1986	pdeR	3.1.4.52	COG2199	Cyclic di-GMP phosphodiesterase PdeR
MHLIDFIL_01286	CDS	1935	rnb	3.1.13.1	COG4776	Exoribonuclease 2
MHLIDFIL_01287	CDS	1128				hypothetical protein
MHLIDFIL_01288	CDS	789	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
MHLIDFIL_01289	CDS	807	sapF		COG4167	Putrescine export system ATP-binding protein SapF
MHLIDFIL_01290	CDS	993	sapD		COG4170	Putrescine export system ATP-binding protein SapD
MHLIDFIL_01291	CDS	891	sapC		COG4171	Putrescine export system permease protein SapC
MHLIDFIL_01292	CDS	966	sapB_1		COG4168	Putrescine export system permease protein SapB
MHLIDFIL_01293	CDS	1644	sapA		COG4166	Peptide transport periplasmic protein SapA
MHLIDFIL_01294	CDS	246				hypothetical protein
MHLIDFIL_01295	CDS	1386	puuP		COG0531	Putrescine importer PuuP
MHLIDFIL_01296	CDS	1419	puuA	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
MHLIDFIL_01297	CDS	753	puuD	3.5.1.94	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
MHLIDFIL_01298	CDS	558	puuR			HTH-type transcriptional regulator PuuR
MHLIDFIL_01299	CDS	1488	puuC	1.2.1.5	COG1012	NADP/NAD-dependent aldehyde dehydrogenase PuuC
MHLIDFIL_01300	CDS	1281	puuB	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
MHLIDFIL_01301	CDS	1266	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
MHLIDFIL_01302	CDS	978	pspF		COG1221	Psp operon transcriptional activator
MHLIDFIL_01303	CDS	669	pspA		COG1842	Phage shock protein A
MHLIDFIL_01304	CDS	225	pspB_1			Phage shock protein B
MHLIDFIL_01305	CDS	360	pspC		COG1983	Phage shock protein C
MHLIDFIL_01306	CDS	222	pspD			Phage shock protein D
MHLIDFIL_01307	CDS	315	pspE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase PspE
MHLIDFIL_01308	CDS	1680	ycjM	2.4.1.352	COG0366	Glucosylglycerate phosphorylase
MHLIDFIL_01309	CDS	1293				hypothetical protein
MHLIDFIL_01310	CDS	882	ycjO		COG1175	Inner membrane ABC transporter permease protein YcjO
MHLIDFIL_01311	CDS	843	ycjP		COG0395	Inner membrane ABC transporter permease protein YcjP
MHLIDFIL_01312	CDS	1053	tdh_1	1.1.1.103		L-threonine 3-dehydrogenase
MHLIDFIL_01313	CDS	789	iolE	4.2.1.44		Inosose dehydratase
MHLIDFIL_01314	CDS	1056	iolG	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
MHLIDFIL_01315	CDS	2268	ycjT	2.4.1.230	COG1554	Kojibiose phosphorylase
MHLIDFIL_01316	CDS	660	ycjU	5.4.2.6	COG0637	Beta-phosphoglucomutase
MHLIDFIL_01317	CDS	969	msmX	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
MHLIDFIL_01318	CDS	906	ompG			Outer membrane porin G
MHLIDFIL_01319	CDS	999	purR_1		COG1609	HTH-type transcriptional repressor PurR
MHLIDFIL_01320	CDS	1398	ycjX		COG3106	putative protein YcjX
MHLIDFIL_01321	CDS	1062				hypothetical protein
MHLIDFIL_01322	CDS	1542	tyrR		COG3283	Transcriptional regulatory protein TyrR
MHLIDFIL_01323	CDS	507	tpx	1.11.1.15	COG2077	Thiol peroxidase
MHLIDFIL_01324	CDS	966	ycjG	5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
MHLIDFIL_01325	CDS	729	mpaA	3.4.17.-	COG2866	Murein peptide amidase A
MHLIDFIL_01326	CDS	183				hypothetical protein
MHLIDFIL_01327	CDS	921	ycjY		COG1073	putative protein YcjY
MHLIDFIL_01328	CDS	900	pgrR_2			HTH-type transcriptional regulator PgrR
MHLIDFIL_01329	CDS	1614	mppA		COG4166	Periplasmic murein peptide-binding protein
MHLIDFIL_01330	CDS	1032	ynaI		COG0668	Low conductance mechanosensitive channel YnaI
MHLIDFIL_01331	CDS	981			COG3039	IS5 family transposase IS5
MHLIDFIL_01332	CDS	258				hypothetical protein
MHLIDFIL_01333	CDS	951	uspE		COG0589	Universal stress protein E
MHLIDFIL_01334	CDS	753	fnr		COG0664	Fumarate and nitrate reduction regulatory protein
MHLIDFIL_01335	CDS	516	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
MHLIDFIL_01336	CDS	1527	abgT		COG2978	p-aminobenzoyl-glutamate transport protein
MHLIDFIL_01337	CDS	1446	abgB	3.5.1.-	COG1473	p-aminobenzoyl-glutamate hydrolase subunit B
MHLIDFIL_01338	CDS	1311	abgA	3.5.1.-	COG1473	p-aminobenzoyl-glutamate hydrolase subunit A
MHLIDFIL_01339	CDS	909	tsaR_1			HTH-type transcriptional regulator TsaR
MHLIDFIL_01340	CDS	564	smrA	3.1.-.-	COG2840	putative DNA endonuclease SmrA
MHLIDFIL_01341	CDS	1233	dgcM	2.7.7.65	COG2199	Diguanylate cyclase DgcM
MHLIDFIL_01342	CDS	984	zntB		COG0598	Zinc transport protein ZntB
MHLIDFIL_01343	CDS	174	ynaL			Protein YnaL
MHLIDFIL_01344	CDS	1374	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
MHLIDFIL_01345	CDS	936	ttcA	2.8.1.-	COG0037	tRNA-cytidine(32) 2-sulfurtransferase
MHLIDFIL_01346	CDS	1236	intQ_1		COG0582	Putative defective protein IntQ
MHLIDFIL_01347	CDS	216				hypothetical protein
MHLIDFIL_01348	CDS	210	rcbA			Double-strand break reduction protein
MHLIDFIL_01349	CDS	810	recT		COG3723	Protein RecT
MHLIDFIL_01350	CDS	2601	recE	3.1.11.-		Exodeoxyribonuclease 8
MHLIDFIL_01351	CDS	276				hypothetical protein
MHLIDFIL_01352	CDS	171				hypothetical protein
MHLIDFIL_01353	CDS	222	kilR			Killing protein KilR
MHLIDFIL_01354	CDS	612				hypothetical protein
MHLIDFIL_01355	CDS	156				hypothetical protein
MHLIDFIL_01356	CDS	135	ydaG			putative protein YdaG
MHLIDFIL_01357	CDS	477				hypothetical protein
MHLIDFIL_01358	CDS	297				hypothetical protein
MHLIDFIL_01359	CDS	423				hypothetical protein
MHLIDFIL_01360	CDS	858				hypothetical protein
MHLIDFIL_01361	CDS	747	dnaC_1		COG1484	DNA replication protein DnaC
MHLIDFIL_01362	CDS	561	ydaW			Protein YdaW
MHLIDFIL_01363	CDS	300				hypothetical protein
MHLIDFIL_01364	CDS	1425	trkG		COG0168	Trk system potassium uptake protein TrkG
MHLIDFIL_01365	CDS	264				hypothetical protein
MHLIDFIL_01366	CDS	360	ydaY			Protein YdaY
MHLIDFIL_01367	CDS	1029				hypothetical protein
MHLIDFIL_01368	CDS	981			COG3039	IS5 family transposase ISKpn26
MHLIDFIL_01369	CDS	738				hypothetical protein
MHLIDFIL_01370	CDS	1998				hypothetical protein
MHLIDFIL_01371	CDS	576	tfaE_2			Prophage tail fiber assembly protein TfaE
MHLIDFIL_01372	CDS	591				Tn3 family transposase ISYps3
MHLIDFIL_01373	CDS	234	ynaE			putative protein YnaE
MHLIDFIL_01374	CDS	435	uspF		COG0589	Universal stress protein F
MHLIDFIL_01375	CDS	1134	ompN_1		COG3203	Outer membrane porin N
MHLIDFIL_01376	CDS	3525	nifJ	1.2.7.-	COG0674	Pyruvate-flavodoxin oxidoreductase
MHLIDFIL_01377	CDS	267				hypothetical protein
MHLIDFIL_01378	CDS	423	hslJ		COG3187	Heat shock protein HslJ
MHLIDFIL_01379	CDS	990	ldhA	1.1.1.28	COG1052	D-lactate dehydrogenase
MHLIDFIL_01380	CDS	2640				hypothetical protein
MHLIDFIL_01381	CDS	186				hypothetical protein
MHLIDFIL_01382	CDS	327				hypothetical protein
MHLIDFIL_01383	CDS	906	feaR		COG2207	Transcriptional activator FeaR
MHLIDFIL_01384	CDS	1500	feaB	1.2.1.39	COG1012	Phenylacetaldehyde dehydrogenase
MHLIDFIL_01385	CDS	2274	tynA	1.4.3.21	COG3733	Primary amine oxidase
MHLIDFIL_01386	CDS	2046	paaZ		COG2030	Bifunctional protein PaaZ
MHLIDFIL_01387	CDS	930	paaA	1.14.13.149	COG3396	1,2-phenylacetyl-CoA epoxidase, subunit A
MHLIDFIL_01388	CDS	288	paaB		COG3460	1,2-phenylacetyl-CoA epoxidase, subunit B
MHLIDFIL_01389	CDS	747	paaC		COG3396	1,2-phenylacetyl-CoA epoxidase, subunit C
MHLIDFIL_01390	CDS	498	paaD		COG2151	Putative 1,2-phenylacetyl-CoA epoxidase, subunit D
MHLIDFIL_01391	CDS	1071	paaE	1.-.-.-	COG1018	1,2-phenylacetyl-CoA epoxidase, subunit E
MHLIDFIL_01392	CDS	768	paaF	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
MHLIDFIL_01393	CDS	789	paaG	5.3.3.18	COG1024	1,2-epoxyphenylacetyl-CoA isomerase
MHLIDFIL_01394	CDS	1383	paaH	1.1.1.-	COG1250	3-hydroxyadipyl-CoA dehydrogenase
MHLIDFIL_01395	CDS	423	paaI	3.1.2.-	COG2050	Acyl-coenzyme A thioesterase PaaI
MHLIDFIL_01396	CDS	1206	paaJ	2.3.1.174	COG0183	3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase
MHLIDFIL_01397	CDS	1314	paaK	6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
MHLIDFIL_01398	CDS	951	paaX		COG3327	Transcriptional repressor PaaX
MHLIDFIL_01399	CDS	591	caiE			Carnitine operon protein CaiE
MHLIDFIL_01400	CDS	2559				hypothetical protein
MHLIDFIL_01401	CDS	906				IS3 family transposase IS2
MHLIDFIL_01402	CDS	366				hypothetical protein
MHLIDFIL_01403	CDS	1152			COG2826	IS30 family transposase IS30
MHLIDFIL_01404	CDS	3324				hypothetical protein
MHLIDFIL_01405	CDS	861	pdxI	1.1.1.65		Pyridoxine 4-dehydrogenase
MHLIDFIL_01406	CDS	2307				hypothetical protein
MHLIDFIL_01407	CDS	606	ynbA		COG0558	Inner membrane protein YnbA
MHLIDFIL_01408	CDS	897				hypothetical protein
MHLIDFIL_01409	CDS	1758	ynbC		COG2267	putative protein YnbC
MHLIDFIL_01410	CDS	1317	ynbD		COG0671	putative protein YnbD
MHLIDFIL_01411	CDS	606	azoR_2	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase
MHLIDFIL_01412	CDS	3903				hypothetical protein
MHLIDFIL_01413	CDS	801	ydcF		COG1434	Protein YdcF
MHLIDFIL_01414	CDS	1440	aldA	1.2.1.22	COG1012	Lactaldehyde dehydrogenase
MHLIDFIL_01415	CDS	252	gapA1	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase 1
MHLIDFIL_01416	CDS	378	gap	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase
MHLIDFIL_01417	CDS	117				hypothetical protein
MHLIDFIL_01418	CDS	531	cybB		COG3038	Cytochrome b561
MHLIDFIL_01419	CDS	174				hypothetical protein
MHLIDFIL_01420	CDS	168				hypothetical protein
MHLIDFIL_01421	CDS	1641	trg		COG0840	Methyl-accepting chemotaxis protein III
MHLIDFIL_01422	CDS	924	catM			HTH-type transcriptional regulator CatM
MHLIDFIL_01423	CDS	1344			COG5383	putative protein
MHLIDFIL_01424	CDS	1620	mdoD		COG3131	Glucans biosynthesis protein D
MHLIDFIL_01425	CDS	225				hypothetical protein
MHLIDFIL_01426	CDS	540	rimL	2.3.1.-	COG1670	Ribosomal-protein-serine acetyltransferase
MHLIDFIL_01427	CDS	981				hypothetical protein
MHLIDFIL_01428	CDS	993	tehA		COG1275	Tellurite resistance protein TehA
MHLIDFIL_01429	CDS	594	tehB	2.1.1.265	COG0500	Tellurite methyltransferase
MHLIDFIL_01430	CDS	669				hypothetical protein
MHLIDFIL_01431	CDS	288				hypothetical protein
MHLIDFIL_01432	CDS	1149				IS200/IS605 family transposase IS609
MHLIDFIL_01433	CDS	1176	ydcO		COG3135	Inner membrane protein YdcO
MHLIDFIL_01434	CDS	537	sutR		COG1396	HTH-type transcriptional regulator SutR
MHLIDFIL_01435	CDS	1962	rlhA_1		COG0826	23S rRNA 5-hydroxycytidine synthase
MHLIDFIL_01436	CDS	171				hypothetical protein
MHLIDFIL_01437	CDS	177	hicA	3.1.-.-		putative mRNA interferase toxin HicA
MHLIDFIL_01438	CDS	438	hicB		COG1598	Antitoxin HicB
MHLIDFIL_01439	CDS	1407	lysN	2.6.1.39	COG1167	2-aminoadipate transaminase
MHLIDFIL_01440	CDS	1146	ydcS	2.3.1.-		Bifunctional polyhydroxybutyrate synthase / ABC transporter periplasmic binding protein
MHLIDFIL_01441	CDS	1014	potA_3	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
MHLIDFIL_01442	CDS	942	ydcU		COG1176	Inner membrane ABC transporter permease protein YdcU
MHLIDFIL_01443	CDS	795	ydcV_3			Inner membrane ABC transporter permease protein YdcV
MHLIDFIL_01444	CDS	1425	prr	1.2.1.19	COG1012	Gamma-aminobutyraldehyde dehydrogenase
MHLIDFIL_01445	CDS	174	ortT			Orphan toxin OrtT
MHLIDFIL_01446	CDS	234	ydcY			putative protein YdcY
MHLIDFIL_01447	CDS	450	ydcZ		COG3238	Inner membrane protein YdcZ
MHLIDFIL_01448	CDS	519	mnaT	2.3.1.-	COG1247	L-amino acid N-acyltransferase MnaT
MHLIDFIL_01449	CDS	1038	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
MHLIDFIL_01450	CDS	666	mcbR		COG1802	HTH-type transcriptional regulator McbR
MHLIDFIL_01451	CDS	2103	cntO			Metal-pseudopaline receptor CntO
MHLIDFIL_01452	CDS	1062	yncE		COG3391	putative protein YncE
MHLIDFIL_01453	CDS	1500	ansP2		COG1113	L-asparagine permease 2
MHLIDFIL_01454	CDS	618	gstB_2	2.5.1.18	COG0625	Glutathione S-transferase GST-6.0
MHLIDFIL_01455	CDS	213				hypothetical protein
MHLIDFIL_01456	CDS	2049	rhsD_2		COG3209	Protein RhsD
